STOP_ID,DIRECTION_ID,STOP_NAME,STATION_NAME,STATION_DESCRIPTIVE_NAME,MAP_ID,ADA,RED,BLUE,G,BRN,P,Pexp,Y,Pnk,O,Location,Neighborhood,City
30001.0,E,Austin (O'Hare-bound),Austin,Austin (Blue Line),40010.0,False,False,True,False,False,False,False,False,False,False,"(41.870851, -87.776812)",NA,Oak Park
30243.0,E,Austin (63rd-bound),Austin,Austin (Green Line),41260.0,False,False,False,True,False,False,False,False,False,False,"(41.887293, -87.774135)",Austin,Chicago
30244.0,W,Austin (Harlem-bound),Austin,Austin (Green Line),41260.0,False,False,False,True,False,False,False,False,False,False,"(41.887293, -87.774135)",Austin,Chicago
30013.0,S,Belmont (O'Hare Branch) (Forest Pk-bound),Belmont,Belmont (Blue Line),40060.0,False,False,True,False,False,False,False,False,False,False,"(41.938132, -87.712359)",Avondale,Chicago
30012.0,N,Belmont (O'Hare Branch) (O'Hare-bound),Belmont,Belmont (Blue Line),40060.0,False,False,True,False,False,False,False,False,False,False,"(41.938132, -87.712359)",Avondale,Chicago
30256.0,S,Belmont (95th-bound),Belmont,"Belmont (Red, Brown & Purple Lines)",41320.0,True,True,False,False,False,False,False,False,False,False,"(41.939751, -87.65338)",Lake View East,Chicago
30255.0,N,Belmont (Howard-bound),Belmont,"Belmont (Red, Brown & Purple Lines)",41320.0,True,True,False,False,False,False,False,False,False,False,"(41.939751, -87.65338)",Lake View East,Chicago
30257.0,N,Belmont (Kimball-Linden-bound),Belmont,"Belmont (Red, Brown & Purple Lines)",41320.0,True,False,False,False,True,False,True,False,False,False,"(41.939751, -87.65338)",Lake View East,Chicago
30258.0,S,Belmont (Loop-bound),Belmont,"Belmont (Red, Brown & Purple Lines)",41320.0,True,False,False,False,True,False,True,False,False,False,"(41.939751, -87.65338)",Lake View East,Chicago
30067.0,S,Berwyn (95th-bound),Berwyn,Berwyn (Red Line),40340.0,False,True,False,False,False,False,False,False,False,False,"(41.977984, -87.658668)",Edgewater,Chicago
30066.0,N,Berwyn (Howard-bound),Berwyn,Berwyn (Red Line),40340.0,False,True,False,False,False,False,False,False,False,False,"(41.977984, -87.658668)",Edgewater,Chicago
30268.0,S,Bryn Mawr (95th-bound),Bryn Mawr,Bryn Mawr (Red Line),41380.0,False,True,False,False,False,False,False,False,False,False,"(41.983504, -87.65884)",Edgewater,Chicago
30267.0,N,Bryn Mawr (Howard-bound),Bryn Mawr,Bryn Mawr (Red Line),41380.0,False,True,False,False,False,False,False,False,False,False,"(41.983504, -87.65884)",Edgewater,Chicago
30087.0,W,California (54th/Cermak-bound),California,California (Pink Line),40440.0,True,False,False,False,False,False,False,False,True,False,"(41.854109, -87.694774)",Marshall Square,Chicago
30086.0,E,California (Loop-bound),California,California (Pink Line),40440.0,True,False,False,False,False,False,False,False,True,False,"(41.854109, -87.694774)",Marshall Square,Chicago
30265.0,E,California (63rd-bound),California,California (Green Line),41360.0,True,False,False,True,False,False,False,False,False,False,"(41.88422, -87.696234)",Garfield Park,Chicago
30266.0,W,California (Harlem-bound),California,California (Green Line),41360.0,True,False,False,True,False,False,False,False,False,False,"(41.88422, -87.696234)",Garfield Park,Chicago
30054.0,E,Central (63rd-bound),Central,Central (Green Line),40280.0,True,False,False,True,False,False,False,False,False,False,"(41.887389, -87.76565)",Austin,Chicago
30055.0,W,Central (Harlem-bound),Central,Central (Green Line),40280.0,True,False,False,True,False,False,False,False,False,False,"(41.887389, -87.76565)",Austin,Chicago
30152.0,W,Central Park (54th/Cermak-bound),Central Park,Central Park (Pink Line),40780.0,True,False,False,False,False,False,False,False,True,False,"(41.853839, -87.714842)",North Lawndale,Chicago
30151.0,E,Central Park (Loop-bound),Central Park,Central Park (Pink Line),40780.0,True,False,False,False,False,False,False,False,True,False,"(41.853839, -87.714842)",North Lawndale,Chicago
30194.0,S,Cermak-Chinatown (95th-bound),Cermak-Chinatown,Cermak-Chinatown (Red Line),41000.0,True,True,False,False,False,False,False,False,False,False,"(41.853206, -87.630968)",South Loop,Chicago
30193.0,N,Cermak-Chinatown (Howard-bound),Cermak-Chinatown,Cermak-Chinatown (Red Line),41000.0,True,True,False,False,False,False,False,False,False,False,"(41.853206, -87.630968)",South Loop,Chicago
30242.0,S,Central (Howard-Loop-bound),Central,Central (Purple Line),41250.0,False,False,False,False,False,True,True,False,False,False,"(42.063987, -87.685617)",NA,Evanston
30241.0,N,Central (Linden-bound),Central,Central (Purple Line),41250.0,False,False,False,False,False,True,True,False,False,False,"(42.063987, -87.685617)",NA,Evanston
30083.0,W,Cicero (54th/Cermak-bound),Cicero,Cicero (Pink Line),40420.0,True,False,False,False,False,False,False,False,True,False,"(41.85182, -87.745336)",NA,Cicero
30082.0,E,Cicero (Loop-bound),Cicero,Cicero (Pink Line),40420.0,True,False,False,False,False,False,False,False,True,False,"(41.85182, -87.745336)",NA,Cicero
30188.0,W,Cicero (Forest Pk-bound),Cicero,Cicero (Blue Line),40970.0,False,False,True,False,False,False,False,False,False,False,"(41.871574, -87.745154)",Austin,Chicago
30187.0,E,Cicero (O'Hare-bound),Cicero,Cicero (Blue Line),40970.0,False,False,True,False,False,False,False,False,False,False,"(41.871574, -87.745154)",Austin,Chicago
30094.0,E,Cicero (63rd-bound),Cicero,Cicero (Green Line),40480.0,True,False,False,True,False,False,False,False,False,False,"(41.886519, -87.744698)",Austin,Chicago
30009.0,W,Cicero (Harlem-bound),Cicero,Cicero (Green Line),40480.0,True,False,False,True,False,False,False,False,False,False,"(41.886519, -87.744698)",Austin,Chicago
30074.0,E,Clark/Lake (Inner Loop),Clark/Lake,"Clark/Lake (Blue, Brown, Green, Orange, Purple & Pink Lines)",40380.0,True,False,False,True,False,False,True,False,True,True,"(41.885737, -87.630886)",Chicago Loop,Chicago
30075.0,W,Clark/Lake (Outer Loop),Clark/Lake,"Clark/Lake (Blue, Brown, Green, Orange, Purple & Pink Lines)",40380.0,True,False,False,True,True,False,False,False,False,False,"(41.885737, -87.630886)",Chicago Loop,Chicago
30374.0,S,Clark/Lake (Forest Pk-bound),Clark/Lake,"Clark/Lake (Blue, Brown, Green, Orange, Purple & Pink Lines)",40380.0,True,False,True,False,False,False,False,False,False,False,"(41.885737, -87.630886)",Chicago Loop,Chicago
30375.0,N,Clark/Lake (O'Hare-bound),Clark/Lake,"Clark/Lake (Blue, Brown, Green, Orange, Purple & Pink Lines)",40380.0,True,False,True,False,False,False,False,False,False,False,"(41.885737, -87.630886)",Chicago Loop,Chicago
30085.0,W,Clinton (Forest Pk-bound),Clinton,Clinton (Blue Line),40430.0,False,False,True,False,False,False,False,False,False,False,"(41.875539, -87.640984)",Near West Side,Chicago
30084.0,E,Clinton (O'Hare-bound),Clinton,Clinton (Blue Line),40430.0,False,False,True,False,False,False,False,False,False,False,"(41.875539, -87.640984)",Near West Side,Chicago
30222.0,W,Clinton (Harlem-54th/Cermak-bound),Clinton,Clinton (Green & Pink Lines),41160.0,True,False,False,True,False,False,False,False,True,False,"(41.885678, -87.641782)",West Loop,Chicago
30221.0,E,Clinton (Loop-63rd-bound),Clinton,Clinton (Green & Pink Lines),41160.0,True,False,False,True,False,False,False,False,True,False,"(41.885678, -87.641782)",West Loop,Chicago
30291.0,E,Conservatory (63rd-bound),Conservatory,Conservatory (Green Line),41670.0,True,False,False,True,False,False,False,False,False,False,"(41.884904, -87.716523)",Garfield Park,Chicago
30292.0,W,Conservatory (Harlem-bound),Conservatory,Conservatory (Green Line),41670.0,True,False,False,True,False,False,False,False,False,False,"(41.884904, -87.716523)",Garfield Park,Chicago
30139.0,E,Cottage Grove (Terminal arrival),Cottage Grove,Cottage Grove (Green Line),40720.0,True,False,False,True,False,False,False,False,False,False,"(41.780309, -87.605857)",Woodlawn,Chicago
30045.0,S,Cumberland (Forest Pk-bound),Cumberland,Cumberland (Blue Line),40230.0,True,False,True,False,False,False,False,False,False,False,"(41.984246, -87.838028)",O'Hare,Chicago
30044.0,N,Cumberland (O'Hare-bound),Cumberland,Cumberland (Blue Line),40230.0,True,False,True,False,False,False,False,False,False,False,"(41.984246, -87.838028)",O'Hare,Chicago
30041.0,W,Damen (54th/Cermak-bound),Damen,Damen (Pink Line),40210.0,True,False,False,False,False,False,False,False,True,False,"(41.854517, -87.675975)",Lower West Side,Chicago
30040.0,E,Damen (Loop-bound),Damen,Damen (Pink Line),40210.0,True,False,False,False,False,False,False,False,True,False,"(41.854517, -87.675975)",Lower West Side,Chicago
30116.0,S,Damen/Milwaukee (Forest Pk-bound),Damen,Damen (Blue Line),40590.0,False,False,True,False,False,False,False,False,False,False,"(41.909744, -87.677437)",West Town,Chicago
30115.0,N,Damen/Milwaukee (O'Hare-bound),Damen,Damen (Blue Line),40590.0,False,False,True,False,False,False,False,False,False,False,"(41.909744, -87.677437)",West Town,Chicago
30018.0,N,Damen (Kimball-bound),Damen,Damen (Brown Line),40090.0,True,False,False,False,True,False,False,False,False,False,"(41.966286, -87.678639)",Lincoln Square,Chicago
30019.0,S,Damen (Loop-bound),Damen,Damen (Brown Line),40090.0,True,False,False,False,True,False,False,False,False,False,"(41.966286, -87.678639)",Lincoln Square,Chicago
30011.0,S,Davis (Howard-Loop-bound),Davis,Davis (Purple Line),40050.0,True,False,False,False,False,True,True,False,False,False,"(42.04771, -87.683543)",NA,Evanston
30010.0,N,Davis (Linden-bound),Davis,Davis (Purple Line),40050.0,True,False,False,False,False,True,True,False,False,False,"(42.04771, -87.683543)",NA,Evanston
30134.0,S,Dempster (Howard-Loop-bound),Dempster,Dempster (Purple Line),40690.0,False,False,False,False,False,True,True,False,False,False,"(42.041655, -87.681602)",NA,Evanston
