Station Name,Location,Neighborhood,City,RED,BLUE,G,BRN,P,Pexp,Y,Pnk,O
Diversey (Brown & Purple Lines),"(41.932732, -87.653131)",Lincoln Park,Chicago,False,False,False,True,False,True,False,False,False
Division (Blue Line),"(41.903355, -87.666496)",Pulaski Park,Chicago,False,True,False,False,False,False,False,False,False
Forest Park (Blue Line),"(41.874257, -87.817318)",,Forest Park,False,True,False,False,False,False,False,False,False
Foster (Purple Line),"(42.05416, -87.68356)",,Evanston,False,False,False,False,True,True,False,False,False
Francisco (Brown Line),"(41.966046, -87.701644)",Albany Park,Chicago,False,False,False,True,False,False,False,False,False
"Fullerton (Red, Brown & Purple Lines)","(41.925051, -87.652866)",Sheffield & DePaul,Chicago,True,False,False,True,False,True,False,False,False
Garfield (Green Line),"(41.795172, -87.618327)",Washington Park,Chicago,False,False,True,False,False,False,False,False,False
Garfield (Red Line),"(41.79542, -87.631157)",Fuller Park,Chicago,True,False,False,False,False,False,False,False,False
Grand (Blue Line),"(41.891189, -87.647578)",West Town,Chicago,False,True,False,False,False,False,False,False,False
Grand (Red Line),"(41.891665, -87.628021)",River North,Chicago,True,False,False,False,False,False,False,False,False
Granville (Red Line),"(41.993664, -87.659202)",Edgewater,Chicago,True,False,False,False,False,False,False,False,False
Halsted (Green Line),"(41.778943, -87.644244)",Englewood,Chicago,False,False,True,False,False,False,False,False,False
Halsted (Orange Line),"(41.84678, -87.648088)",Bridgeport,Chicago,False,False,False,False,False,False,False,False,True
Harlem (Blue Line - Forest Park Branch),"(41.87349, -87.806961)",,Forest Park,False,True,False,False,False,False,False,False,False
Harlem (Blue Line - O'Hare Branch),"(41.98227, -87.8089)",Oriole Park,Chicago,False,True,False,False,False,False,False,False,False
Harlem/Lake (Green Line),"(41.886848, -87.803176)",,Oak Park,False,False,True,False,False,False,False,False,False
"Harold Washington Library-State/Van Buren (Brown, Orange, Purple & Pink Lines)","(41.876862, -87.628196)",Chicago Loop,Chicago,False,False,False,True,False,True,False,True,True
Harrison (Red Line),"(41.874039, -87.627479)",Chicago Loop,Chicago,True,False,False,False,False,False,False,False,False
Homan (Closed),"(41.884914, -87.711327)",Garfield Park,Chicago,False,False,True,False,False,False,False,False,False
"Howard (Red, Purple & Yellow Lines)","(42.019063, -87.672892)",Rogers Park,Chicago,True,False,False,False,True,True,True,False,False
Illinois Medical District (Blue Line),"(41.875706, -87.673932)",Near West Side,Chicago,False,True,False,False,False,False,False,False,False
Indiana (Green Line),"(41.821732, -87.621371)",Bronzeville,Chicago,False,False,True,False,False,False,False,False,False
Irving Park (Blue Line),"(41.952925, -87.729229)",Old Irving Park,Chicago,False,True,False,False,False,False,False,False,False
Irving Park (Brown Line),"(41.954521, -87.674868)",North Center,Chicago,False,False,False,True,False,False,False,False,False
Jackson (Blue Line),"(41.878183, -87.629296)",Chicago Loop,Chicago,False,True,False,False,False,False,False,False,False
Jackson (Red Line),"(41.878153, -87.627596)",Chicago Loop,Chicago,True,False,False,False,False,False,False,False,False
Jarvis (Red Line),"(42.015876, -87.669092)",Rogers Park,Chicago,True,False,False,False,False,False,False,False,False
Jefferson Park (Blue Line),"(41.970634, -87.760892)",Jefferson Park,Chicago,False,True,False,False,False,False,False,False,False
Kedzie (Brown Line),"(41.965996, -87.708821)",East Albany Park,Chicago,False,False,False,True,False,False,False,False,False
Kedzie (Green Line),"(41.884321, -87.706155)",Garfield Park,Chicago,False,False,True,False,False,False,False,False,False
Kedzie (Orange Line),"(41.804236, -87.704406)",Brighton Park,Chicago,False,False,False,False,False,False,False,False,True
Kedzie (Pink Line),"(41.853964, -87.705408)",North Lawndale,Chicago,False,False,False,False,False,False,False,True,False
Kedzie-Homan (Blue Line),"(41.874341, -87.70604)",Garfield Park,Chicago,False,True,False,False,False,False,False,False,False
Kimball (Brown Line),"(41.967901, -87.713065)",Albany Park,Chicago,False,False,False,True,False,False,False,False,False
King Drive (Green Line),"(41.78013, -87.615546)",Woodlawn,Chicago,False,False,True,False,False,False,False,False,False
Kostner (Pink Line),"(41.853751, -87.733258)",North Lawndale,Chicago,False,False,False,False,False,False,False,True,False
LaSalle (Blue Line),"(41.875568, -87.631722)",Chicago Loop,Chicago,False,True,False,False,False,False,False,False,False
"LaSalle/Van Buren (Brown, Orange, Purple & Pink Lines)","(41.8768, -87.631739)",Chicago Loop,Chicago,False,False,False,True,False,True,False,True,True
Lake (Red Line),"(41.884809, -87.627813)",Chicago Loop,Chicago,True,False,False,False,False,False,False,False,False
Laramie (Green Line),"(41.887163, -87.754986)",Austin,Chicago,False,False,True,False,False,False,False,False,False
Lawrence (Red Line),"(41.969139, -87.658493)",Uptown,Chicago,True,False,False,False,False,False,False,False,False
Linden (Purple Line),"(42.073153, -87.69073)",,Wilmette,False,False,False,False,True,True,False,False,False
Logan Square (Blue Line),"(41.929728, -87.708541)",Logan Square,Chicago,False,True,False,False,False,False,False,False,False
Loyola (Red Line),"(42.001073, -87.661061)",Rogers Park,Chicago,True,False,False,False,False,False,False,False,False
Madison/Wabash (Closed),"(41.882023, -87.626098)",Chicago Loop,Chicago,False,False,True,True,False,True,False,True,True
Main (Purple Line),"(42.033456, -87.679538)",,Evanston,False,False,False,False,True,True,False,False,False
Merchandise Mart (Brown & Purple Lines),"(41.888969, -87.633924)",River North,Chicago,False,False,False,True,False,True,False,False,False
Midway (Orange Line),"(41.78661, -87.737875)",Garfield Ridge,Chicago,False,False,False,False,False,False,False,False,True
Monroe (Blue Line),"(41.880703, -87.629378)",Chicago Loop,Chicago,False,True,False,False,False,False,False,False,False
Monroe (Red Line),"(41.880745, -87.627696)",Chicago Loop,Chicago,True,False,False,False,False,False,False,False,False
Montrose (Blue Line),"(41.961539, -87.743574)",Irving Park,Chicago,False,True,False,False,False,False,False,False,False
Montrose (Brown Line),"(41.961756, -87.675047)",Lincoln Square,Chicago,False,False,False,True,False,False,False,False,False
Morgan (Green & Pink Lines),"(41.885586, -87.652193)",West Loop,Chicago,False,False,True,False,False,False,False,True,False
Morse (Red Line),"(42.008362, -87.665909)",Rogers Park,Chicago,True,False,False,False,False,False,False,False,False
North/Clybourn (Red Line),"(41.910655, -87.649177)",Goose Island,Chicago,True,False,False,False,False,False,False,False,False
Noyes (Purple Line),"(42.058282, -87.683337)",,Evanston,False,False,False,False,True,True,False,False,False
O'Hare (Blue Line),"(41.97766526, -87.90422307)",O'Hare,Chicago,False,True,False,False,False,False,False,False,False
Oak Park (Blue Line),"(41.872108, -87.791602)",,Chicago,False,True,False,False,False,False,False,False,False
Oak Park (Green Line),"(41.886988, -87.793783)",,Oak Park,False,False,True,False,False,False,False,False,False
Oakton-Skokie (Yellow Line),"(42.02624348, -87.74722084)",,Skokie,False,False,False,False,False,False,True,False,False
Paulina (Brown Line),"(41.943623, -87.670907)",Lake View,Chicago,False,False,False,True,False,False,False,False,False
Polk (Pink Line),"(41.871551, -87.66953)",Near West Side,Chicago,False,False,False,False,False,False,False,True,False
